return_id,store_id,date,amount,reason_code
R000396,S05,2025-05-26,36.99,changed_mind
R000222,S03,2025-05-25,34.4,defective
R000326,S05,2025-04-11,50.31,wrong_item
R000237,S04,2025-04-12,35.6,defective
R000343,S05,2025-04-22,23.61,other
R000123,S02,2025-04-30,37.54,other
R000328,S05,2025-04-12,13.32,changed_mind
R000183,S03,2025-04-18,37.53,wrong_item
R000211,S03,2025-05-16,9.33,wrong_item
R000053,S01,2025-05-08,33.26,wrong_item
R000135,S02,2025-05-12,11.98,wrong_item
R000337,S05,2025-04-18,25.92,wrong_item
R000327,S05,2025-04-11,49.16,wrong_item
R000021,S01,2025-04-23,12.67,other
R000356,S05,2025-04-30,20.88,changed_mind
R000071,S01,2025-05-19,21.8,wrong_item
R000043,S01,2025-05-05,21.06,defective
R000357,S05,2025-04-30,31.4,wrong_item
R000100,S02,2025-04-13,33.43,other
R000083,S01,2025-05-30,42.5,other
R000353,S05,2025-04-27,10.36,wrong_item
R000385,S05,2025-05-20,27.35,wrong_item
R000151,S02,2025-05-21,30.23,changed_mind
R000155,S02,2025-05-23,27.66,wrong_item
R000377,S05,2025-05-10,12.93,wrong_item
R000102,S02,2025-04-16,19.98,defective
R000198,S03,2025-05-06,27.61,wrong_item
R000311,S04,2025-05-27,28.17,wrong_item
R000059,S01,2025-05-11,23.74,wrong_item
R000190,S03,2025-04-22,9.8,defective
R000364,S05,2025-05-03,30.91,changed_mind
R000036,S01,2025-04-30,53.13,wrong_item
R000397,S05,2025-05-26,20.34,wrong_item
R000339,S05,2025-04-19,17.95,defective
R000269,S04,2025-05-05,29.91,defective
R000017,S01,2025-04-20,26.27,wrong_item
R000202,S03,2025-05-09,26.65,other
R000087,S01,2025-05-31,43.08,wrong_item
R000334,S05,2025-04-15,28.33,defective
R000283,S04,2025-05-09,20.65,defective
R000197,S03,2025-05-06,38.42,changed_mind
R000188,S03,2025-04-20,13.47,defective
R000302,S04,2025-05-21,25.86,changed_mind
R000081,S01,2025-05-29,19.75,wrong_item
R000209,S03,2025-05-12,29.75,defective
R000394,S05,2025-05-25,28.76,changed_mind
R000182,S03,2025-04-18,16.25,changed_mind
R000403,S05,2025-05-30,16.35,changed_mind
R000110,S02,2025-04-20,28.97,wrong_item
R000212,S03,2025-05-18,33.73,defective
R000072,S01,2025-05-20,25.66,wrong_item
R000261,S04,2025-05-01,31.88,defective
R000264,S04,2025-05-02,17.51,wrong_item
R000095,S02,2025-04-08,22.93,changed_mind
R000359,S05,2025-05-01,31.32,changed_mind
R000201,S03,2025-05-07,41.05,wrong_item
R000262,S04,2025-05-02,32.61,changed_mind
R000331,S05,2025-04-14,15.21,other
R000310,S04,2025-05-27,29.37,wrong_item
R000173,S03,2025-04-11,20.65,defective
R000174,S03,2025-04-12,37.49,wrong_item
R000015,S01,2025-04-18,31.76,defective
R000114,S02,2025-04-22,26.37,wrong_item
R000384,S05,2025-05-19,27.81,defective
R000131,S02,2025-05-05,37.68,wrong_item
R000281,S04,2025-05-08,30.23,changed_mind
R000065,S01,2025-05-15,34.23,wrong_item
R000253,S04,2025-04-22,26.8,defective
R000293,S04,2025-05-18,8.2,defective
R000408,S05,2025-06-01,14.54,defective
R000335,S05,2025-04-17,13.01,wrong_item
R000406,S05,2025-06-01,31.52,wrong_item
R000260,S04,2025-04-29,22.11,defective
R000004,S01,2025-04-10,29.93,wrong_item
R000216,S03,2025-05-21,28.17,changed_mind
R000014,S01,2025-04-16,35.22,changed_mind
R000338,S05,2025-04-18,29.55,changed_mind
R000371,S05,2025-05-07,32.1,changed_mind
R000228,S03,2025-05-30,3.0,changed_mind
R000369,S05,2025-05-05,31.92,other
R000204,S03,2025-05-09,30.68,changed_mind
R000063,S01,2025-05-13,24.33,wrong_item
R000210,S03,2025-05-14,34.68,other
R000029,S01,2025-04-27,42.6,changed_mind
R000305,S04,2025-05-22,6.13,changed_mind
R000172,S03,2025-04-10,27.33,wrong_item
R000096,S02,2025-04-09,18.09,changed_mind
R000054,S01,2025-05-09,19.85,wrong_item
R000134,S02,2025-05-09,29.56,wrong_item
R000109,S02,2025-04-18,22.98,wrong_item
R000122,S02,2025-04-27,31.02,changed_mind
R000236,S04,2025-04-12,19.01,changed_mind
R000108,S02,2025-04-18,34.83,changed_mind
R000395,S05,2025-05-25,24.46,wrong_item
R000275,S04,2025-05-06,27.44,changed_mind
R000226,S03,2025-05-30,23.23,wrong_item
R000355,S05,2025-04-29,30.76,wrong_item
R000055,S01,2025-05-09,15.46,defective
R000143,S02,2025-05-15,29.71,wrong_item
R000273,S04,2025-05-06,27.54,wrong_item
R000152,S02,2025-05-22,27.06,changed_mind
R000215,S03,2025-05-20,34.45,wrong_item
R000191,S03,2025-04-23,39.64,changed_mind
R000012,S01,2025-04-15,38.56,defective
R000367,S05,2025-05-04,14.55,changed_mind
R000360,S05,2025-05-02,26.39,changed_mind
R000166,S02,2025-05-31,18.73,wrong_item
R000224,S03,2025-05-27,33.86,defective
R000266,S04,2025-05-03,35.04,defective
R000256,S04,2025-04-26,34.97,changed_mind
R000390,S05,2025-05-22,25.62,wrong_item
R000223,S03,2025-05-26,20.1,changed_mind
R000233,S04,2025-04-09,27.49,wrong_item
R000030,S01,2025-04-28,45.26,wrong_item
R000217,S03,2025-05-21,28.85,wrong_item
R000168,S03,2025-04-07,22.2,wrong_item
R000133,S02,2025-05-07,37.96,changed_mind
R000184,S03,2025-04-19,28.47,defective
R000139,S02,2025-05-13,33.85,defective
R000136,S02,2025-05-12,42.58,wrong_item
R000265,S04,2025-05-03,11.24,changed_mind
R000382,S05,2025-05-16,27.75,changed_mind
