shift_id,store_id,employee_id,date,hours_worked,role
SH001167,S03,S03-E09,2025-05-27,8.5,cashier
SH000442,S02,S02-E02,2025-04-27,8.0,manager
SH000171,S01,S01-E05,2025-04-19,6.0,cashier
SH001288,S04,S04-E03,2025-04-07,7.4,manager
SH001327,S04,S04-E04,2025-04-12,6.7,stock
SH000365,S01,S01-E10,2025-04-29,8.1,stock
SH001341,S04,S04-E04,2025-05-01,7.8,stock
SH001583,S05,S05-E01,2025-05-07,8.6,cashier
SH001658,S05,S05-E03,2025-05-05,6.0,cashier
SH000130,S01,S01-E04,2025-04-19,6.4,stock
SH001249,S04,S04-E01,2025-06-01,6.0,cashier
SH000979,S03,S03-E05,2025-04-21,7.9,stock
SH000023,S01,S01-E01,2025-05-07,8.5,stock
SH001557,S04,S04-E10,2025-05-27,7.7,stock
SH000084,S01,S01-E03,2025-04-09,7.6,stock
SH000367,S01,S01-E10,2025-05-01,6.1,stock
SH001346,S04,S04-E04,2025-05-10,7.5,stock
SH000006,S01,S01-E01,2025-04-18,7.6,stock
SH000951,S03,S03-E04,2025-05-06,7.9,manager
SH000108,S01,S01-E03,2025-05-16,7.3,stock
SH001095,S03,S03-E07,2025-05-29,7.3,cashier
SH001590,S05,S05-E01,2025-05-15,6.3,cashier
SH000511,S02,S02-E03,2025-05-25,6.6,cashier
SH001916,S05,S05-E10,2025-04-11,8.1,stock
SH000930,S03,S03-E04,2025-04-12,8.9,manager
SH000641,S02,S02-E07,2025-04-16,8.7,cashier
SH001276,S04,S04-E02,2025-05-20,8.7,manager
SH000406,S02,S02-E01,2025-05-03,6.7,manager
SH000296,S01,S01-E08,2025-04-25,5.6,manager
SH000802,S03,S03-E01,2025-04-18,9.3,manager
SH001863,S05,S05-E08,2025-05-09,6.8,stock
SH000320,S01,S01-E08,2025-05-31,7.0,manager
SH000178,S01,S01-E05,2025-04-28,6.3,cashier
SH000053,S01,S01-E02,2025-04-20,5.7,cashier
SH000036,S01,S01-E01,2025-05-26,8.6,stock
SH001792,S05,S05-E06,2025-05-24,6.8,manager
SH000086,S01,S01-E03,2025-04-13,6.4,stock
SH001142,S03,S03-E09,2025-04-18,7.8,cashier
SH001325,S04,S04-E04,2025-04-08,7.2,stock
SH001706,S05,S05-E04,2025-05-17,7.4,cashier
SH000276,S01,S01-E07,2025-05-24,7.8,stock
SH000085,S01,S01-E03,2025-04-12,7.9,stock
SH001343,S04,S04-E04,2025-05-06,5.4,stock
SH000894,S03,S03-E03,2025-04-25,6.5,stock
SH001037,S03,S03-E06,2025-05-13,7.3,stock
SH000317,S01,S01-E08,2025-05-26,6.9,manager
SH000619,S02,S02-E06,2025-05-14,7.0,stock
SH000025,S01,S01-E01,2025-05-09,5.8,stock
SH001973,S09,S09-E01,2025-05-23,7.6,cashier
SH000026,S01,S01-E01,2025-05-13,7.7,stock
SH000558,S02,S02-E05,2025-04-14,7.5,cashier
SH000161,S01,S01-E05,2025-04-07,7.7,cashier
SH001010,S03,S03-E05,2025-06-01,6.4,stock
SH001945,S05,S05-E10,2025-05-15,6.4,stock
SH001439,S04,S04-E07,2025-05-04,7.8,stock
SH000524,S02,S02-E04,2025-04-18,6.7,cashier
SH000443,S02,S02-E02,2025-04-28,4.1,manager
SH001405,S04,S04-E06,2025-05-02,6.5,stock
SH001317,S04,S04-E03,2025-05-24,8.5,manager
SH001846,S05,S05-E08,2025-04-15,6.2,stock
SH001301,S04,S04-E03,2025-04-24,6.8,manager
SH000136,S01,S01-E04,2025-04-27,6.4,stock
SH001835,S05,S05-E07,2025-05-28,5.0,stock
SH000518,S02,S02-E04,2025-04-09,5.5,cashier
SH001749,S05,S05-E05,2025-05-19,7.3,cashier
SH001707,S05,S05-E04,2025-05-18,7.1,cashier
SH001594,S05,S05-E01,2025-05-20,6.2,cashier
SH000249,S01,S01-E07,2025-04-12,6.4,stock
SH000293,S01,S01-E08,2025-04-22,6.9,manager
SH000143,S01,S01-E04,2025-05-11,6.5,stock
SH001303,S04,S04-E03,2025-04-26,8.7,manager
SH001316,S04,S04-E03,2025-05-23,5.3,manager
SH000321,S01,S01-E09,2025-04-10,5.7,manager
SH001859,S05,S05-E08,2025-05-04,8.0,stock
SH000633,S02,S02-E06,2025-05-31,7.5,stock
SH001852,S05,S05-E08,2025-04-24,7.2,stock
SH000485,S02,S02-E03,2025-04-28,7.4,cashier
SH001091,S03,S03-E07,2025-05-23,8.7,cashier
SH000965,S03,S03-E04,2025-05-25,5.7,manager
SH000918,S03,S03-E03,2025-05-23,6.4,stock
SH000977,S03,S03-E05,2025-04-19,9.7,stock
SH001442,S04,S04-E07,2025-05-10,6.4,stock
SH000909,S03,S03-E03,2025-05-11,7.0,stock
SH000713,S02,S02-E08,2025-05-26,7.5,stock
SH001090,S03,S03-E07,2025-05-22,5.7,cashier
SH001708,S05,S05-E04,2025-05-20,7.5,cashier
SH001274,S04,S04-E02,2025-05-11,7.2,manager
SH001289,S04,S04-E03,2025-04-08,6.9,manager
SH001179,S03,S03-E10,2025-04-21,6.3,cashier
SH001922,S05,S05-E10,2025-04-18,9.5,stock
SH000955,S03,S03-E04,2025-05-13,5.7,manager
SH000168,S01,S01-E05,2025-04-16,7.6,cashier
SH001486,S04,S04-E08,2025-05-30,6.1,stock
SH000739,S02,S02-E09,2025-05-03,8.1,cashier
SH000751,S02,S02-E09,2025-05-22,7.7,cashier
SH001123,S03,S03-E08,2025-05-13,7.0,cashier
SH000330,S01,S01-E09,2025-04-21,7.7,manager
SH001308,S04,S04-E03,2025-05-04,8.2,manager
SH001893,S05,S05-E09,2025-04-29,7.5,cashier
SH001772,S05,S05-E06,2025-04-28,6.6,manager
SH001122,S03,S03-E08,2025-05-12,6.0,cashier
SH000208,S01,S01-E06,2025-04-12,7.0,stock
SH000228,S01,S01-E06,2025-05-10,7.0,stock
SH000519,S02,S02-E04,2025-04-10,7.0,cashier
SH000427,S02,S02-E01,2025-05-29,6.6,manager
SH000004,S01,S01-E01,2025-04-16,7.6,stock
SH000104,S01,S01-E03,2025-05-11,3.7,stock
SH001387,S04,S04-E05,2025-05-29,5.7,stock
SH000646,S02,S02-E07,2025-04-23,5.9,cashier
SH001677,S05,S05-E04,2025-04-11,7.1,cashier
SH001498,S04,S04-E09,2025-04-20,5.5,cashier
SH000836,S03,S03-E01,2025-06-01,7.2,manager
SH000447,S02,S02-E02,2025-05-02,7.8,manager
SH001029,S03,S03-E06,2025-05-01,8.0,stock
SH001017,S03,S03-E06,2025-04-15,7.4,stock
SH001415,S04,S04-E06,2025-05-26,5.4,stock
SH001217,S04,S04-E01,2025-04-15,8.1,cashier
SH000914,S03,S03-E03,2025-05-19,8.4,stock
SH000692,S02,S02-E08,2025-04-28,8.4,stock
SH000953,S03,S03-E04,2025-05-08,8.0,manager
SH000031,S01,S01-E01,2025-05-18,5.9,stock
SH000331,S01,S01-E09,2025-04-22,6.1,manager
SH001077,S03,S03-E07,2025-05-08,6.7,cashier
SH001784,S05,S05-E06,2025-05-13,6.8,manager
SH001941,S05,S05-E10,2025-05-09,6.7,stock
SH001956,S05,S05-E10,2025-05-31,7.4,stock
SH001528,S04,S04-E10,2025-04-15,7.7,stock
SH000291,S01,S01-E08,2025-04-19,8.0,manager
SH001637,S05,S05-E02,2025-05-31,5.9,manager
SH000826,S03,S03-E01,2025-05-16,6.7,manager
SH001624,S05,S05-E02,2025-05-09,6.9,manager
SH001457,S04,S04-E08,2025-04-09,9.3,stock
SH001025,S03,S03-E06,2025-04-27,5.0,stock
SH000195,S01,S01-E05,2025-05-22,7.2,cashier
SH000068,S01,S01-E02,2025-05-12,7.0,cashier
SH000929,S03,S03-E04,2025-04-09,5.4,manager
SH000961,S03,S03-E04,2025-05-20,6.4,manager
SH001608,S05,S05-E02,2025-04-15,8.8,manager
SH000520,S02,S02-E04,2025-04-11,7.3,cashier
SH001518,S04,S04-E09,2025-05-25,6.4,cashier
SH001569,S05,S05-E01,2025-04-14,7.1,cashier
SH000625,S02,S02-E06,2025-05-21,8.0,stock
SH000241,S01,S01-E06,2025-05-30,7.0,stock
SH001927,S05,S05-E10,2025-04-24,8.4,stock
SH001545,S04,S04-E10,2025-05-06,7.6,stock
SH000846,S03,S03-E02,2025-04-17,6.9,stock
SH001929,S05,S05-E10,2025-04-26,7.4,stock
SH000201,S01,S01-E05,2025-05-30,7.3,cashier
SH001467,S04,S04-E08,2025-04-28,5.8,stock
SH000820,S03,S03-E01,2025-05-10,9.0,manager
SH000382,S01,S01-E10,2025-05-24,8.7,stock
SH000232,S01,S01-E06,2025-05-16,8.3,stock
SH001247,S04,S04-E01,2025-05-29,7.7,cashier
SH000878,S03,S03-E02,2025-05-30,7.6,stock
SH001201,S03,S03-E10,2025-05-16,7.3,cashier
SH000218,S01,S01-E06,2025-04-28,8.2,stock
SH000196,S01,S01-E05,2025-05-24,6.7,cashier
SH001625,S05,S05-E02,2025-05-10,8.7,manager
SH000116,S01,S01-E03,2025-05-28,6.5,stock
SH001571,S05,S05-E01,2025-04-17,7.9,cashier
SH001310,S04,S04-E03,2025-05-08,5.3,manager
SH001751,S05,S05-E05,2025-05-21,6.6,cashier
SH001418,S04,S04-E06,2025-05-30,5.8,stock
SH001586,S05,S05-E01,2025-05-10,5.0,cashier
SH000229,S01,S01-E06,2025-05-11,6.6,stock
SH001382,S04,S04-E05,2025-05-21,4.7,stock
SH000118,S01,S01-E03,2025-05-30,8.1,stock
SH000046,S01,S01-E02,2025-04-11,6.1,cashier
SH001638,S05,S05-E02,2025-06-01,6.3,manager
SH001841,S05,S05-E08,2025-04-08,7.8,stock
SH001739,S05,S05-E05,2025-05-04,6.6,cashier
SH000946,S03,S03-E04,2025-04-30,9.6,manager
SH000710,S02,S02-E08,2025-05-23,8.0,stock
SH000621,S02,S02-E06,2025-05-17,6.2,stock
SH001227,S04,S04-E01,2025-04-27,7.6,cashier
SH001176,S03,S03-E10,2025-04-13,5.7,cashier
SH001460,S04,S04-E08,2025-04-14,6.5,stock
SH001904,S05,S05-E09,2025-05-12,8.2,cashier
SH000577,S02,S02-E05,2025-05-11,6.7,cashier
SH001158,S03,S03-E09,2025-05-15,7.1,cashier
SH001610,S05,S05-E02,2025-04-17,6.1,manager
SH001084,S03,S03-E07,2025-05-15,7.3,cashier
SH001109,S03,S03-E08,2025-04-22,7.0,cashier
SH000831,S03,S03-E01,2025-05-25,7.7,manager
SH000305,S01,S01-E08,2025-05-06,7.2,manager
SH000686,S02,S02-E08,2025-04-16,5.4,stock
SH000829,S03,S03-E01,2025-05-22,6.5,manager
SH000526,S02,S02-E04,2025-04-20,8.9,cashier
SH001698,S05,S05-E04,2025-05-03,7.2,cashier
SH001243,S04,S04-E01,2025-05-25,7.3,cashier
SH001543,S04,S04-E10,2025-05-04,5.6,stock
SH001098,S03,S03-E08,2025-04-07,6.8,cashier
SH000347,S01,S01-E09,2025-05-16,8.4,manager
SH000683,S02,S02-E08,2025-04-13,6.2,stock
SH000810,S03,S03-E01,2025-04-27,7.2,manager
SH001043,S03,S03-E06,2025-05-20,6.3,stock
SH001534,S04,S04-E10,2025-04-22,7.4,stock
SH000020,S01,S01-E01,2025-05-04,7.7,stock
SH001285,S04,S04-E02,2025-05-30,6.7,manager
SH001354,S04,S04-E04,2025-05-29,5.2,stock
SH000027,S01,S01-E01,2025-05-14,6.4,stock
SH000363,S01,S01-E10,2025-04-26,7.6,stock
