transaction_id,store_id,timestamp,amount,item_count,channel,promo_code
T007201,S05,2025-04-17 18:46,41.17,2,in_store,
T000476,S01,2025-04-20 13:02,32.14,2,online,
T002254,S02,2025-04-15 19:12,44.88,2,in_store,
T007946,S05,2025-05-14 16:10,53.23,3,online,
T001520,S01,2025-05-19 15:24,76.61,4,online,
T005009,S03,2025-05-28 19:04,21.45,2,online,
T006732,S04,2025-05-25 13:56,46.87,2,in_store,
T004143,S03,2025-04-28 17:26,62.02,4,in_store,
T002969,S02,2025-05-10 15:26,55.21,4,in_store,
T000033,S01,2025-04-08 14:07,155.18,10,in_store,
T004164,S03,2025-04-28 15:04,117.75,5,in_store,
T001239,S01,2025-05-12 13:49,17.42,1,online,
T003005,S02,2025-05-11 20:34,34.45,2,in_store,
T003050,S02,2025-05-12 09:15,20.01,2,in_store,
T006995,S05,2025-04-08 15:07,110.55,5,in_store,
T005278,S04,2025-04-11 12:05,46.94,4,in_store,
T006335,S04,2025-05-13 11:40,83.77,4,in_store,
T001733,S01,2025-05-25 15:56,30.47,3,in_store,
T002686,S02,2025-04-30 10:01,59.73,5,in_store,
T007361,S05,2025-04-22 19:04,20.21,1,in_store,
T002169,S02,2025-04-12 11:03,136.47,5,online,
T008234,S05,2025-05-26 18:49,90.45,4,in_store,
T004621,S03,2025-05-12 19:48,45.12,3,in_store,
T003470,S02,2025-05-27 20:04,62.2,2,online,
T005048,S03,2025-05-30 16:04,42.44,2,in_store,
T002209,S02,2025-04-13 13:54,34.1,2,online,
T005143,S04,2025-04-07 17:13,66.87,3,in_store,
T004265,S03,2025-05-03 13:07,17.34,2,online,
T005281,S04,2025-04-11 15:10,72.01,5,in_store,
T001169,S01,2025-05-10 18:27,128.99,6,in_store,
T006536,S04,2025-05-19 11:13,80.03,5,in_store,
T000414,S01,2025-04-18 14:55,16.0,2,in_store,
T001441,S01,2025-05-18 17:43,27.04,2,in_store,
T004443,S03,2025-05-10 14:53,44.7,2,online,SPRING25
T004005,S03,2025-04-22 10:02,25.26,1,online,
T007174,S05,2025-04-16 14:48,38.61,2,in_store,
T006949,S04,2025-06-01 17:19,89.99,4,online,
T000604,S01,2025-04-24 11:01,40.88,2,in_store,
T005642,S04,2025-04-22 18:28,63.49,4,in_store,
T002113,S02,2025-04-10 10:27,19.3,1,in_store,
T002552,S02,2025-04-25 16:07,22.75,2,online,
T001550,S01,2025-05-20 13:55,77.52,5,online,
T004093,S03,2025-04-26 17:30,44.06,2,online,
T008004,S05,2025-05-17 17:52,18.96,2,in_store,
T002740,S02,2025-05-02 10:38,27.5,2,in_store,
T005473,S04,2025-04-17 12:32,70.08,4,in_store,
T006376,S04,2025-05-14 18:09,55.7,2,in_store,
T004229,S03,2025-05-02 12:08,54.48,5,online,
T007352,S05,2025-04-22 11:26,85.51,4,in_store,
T001990,S01,2025-06-01 10:33,68.49,3,in_store,
T006336,S04,2025-05-13 18:18,98.1,4,in_store,
T006932,S04,2025-06-01 09:19,62.1,4,online,
T000786,S01,2025-04-29 16:29,50.44,2,in_store,
T007208,S05,2025-04-17 12:31,19.18,2,in_store,
T004420,S03,2025-05-09 13:20,37.22,2,online,
T007865,S05,2025-05-11 09:29,82.95,4,in_store,
T005185,S04,2025-04-09 09:28,88.78,4,in_store,
T006057,S04,2025-05-05 13:31,34.15,2,in_store,
T005838,S04,2025-04-28 11:03,10.86,2,in_store,
T000837,S01,2025-05-01 13:51,28.65,2,in_store,
T008203,S05,2025-05-25 11:43,47.18,3,in_store,
T004314,S03,2025-05-05 17:26,39.43,2,in_store,
T004675,S03,2025-05-15 09:36,119.14,5,in_store,
T003039,S02,2025-05-12 12:38,32.46,2,in_store,
T005325,S04,2025-04-13 12:48,58.32,3,online,
T000983,S01,2025-05-05 15:08,27.88,2,online,
T005372,S04,2025-04-14 14:58,46.34,2,online,
T000194,S01,2025-04-12 13:52,80.75,5,in_store,
T003496,S02,2025-05-27 20:32,20.68,1,online,
T004188,S03,2025-04-29 15:26,70.3,4,in_store,
T001161,S01,2025-05-10 10:14,47.93,2,in_store,
T001011,S01,2025-05-06 17:00,93.6,4,online,
T000790,S01,2025-04-30 12:27,34.47,2,online,
T006936,S04,2025-06-01 15:21,34.84,5,in_store,
T006243,S04,2025-05-11 18:51,28.64,2,online,
T005654,S04,2025-04-22 16:41,11.73,1,online,
T007641,S05,2025-05-03 12:16,15.62,1,in_store,
T005814,S04,2025-04-27 17:01,75.13,5,in_store,
T004101,S03,2025-04-26 16:43,79.66,5,online,
T001199,S01,2025-05-11 16:53,43.36,3,online,
T000129,S01,2025-04-10 14:52,20.4,2,in_store,
T002530,S02,2025-04-24 17:50,61.67,3,online,
T002238,S02,2025-04-14 19:08,20.42,1,online,
T002435,S02,2025-04-21 12:31,60.5,3,in_store,
T002431,S02,2025-04-21 14:44,26.91,2,in_store,
T004379,S03,2025-05-08 10:36,111.76,4,online,
T003567,S02,2025-05-30 14:04,40.45,2,in_store,
